Radius,BStrength,ApexHeight,Orientation,restartdir,realization
0.31124999999999997,41.29482610441767,0.34383398437499996,208.95499999999998,11.0,[1]
0.50875,-13.276040540540539,0.6020738281250001,193.655,15.0,[1]
0.6012500000000001,-14.570277546777545,0.5424402343750001,218.405,14.0,[1]
0.55875,17.689213199105147,0.5376222656249999,188.255,14.0,[1]
0.6112500000000001,19.058156850715747,0.7531746093750001,150.45499999999998,15.0,[1]
0.33375,26.96965580524345,0.364934765625,194.555,18.0,[1]
0.44875,31.503016434540395,0.402332421875,152.255,15.0,[1]
0.53625,22.920802564102562,0.667798828125,159.905,20.0,[6]
0.51125,-19.96056503667482,0.558061328125,171.605,20.0,[6]
0.34875,38.46522974910394,0.38983710937499993,222.005,20.0,[6]
0.65875,-32.05849392789374,0.653603515625,165.305,17.0,[5]
0.54625,-13.980614874141875,0.483601953125,227.405,15.0,[1]
0.48624999999999996,-19.66654370179949,0.46968710937499997,184.20499999999998,9.0,[4]
0.37625,-14.538795016611298,0.39447460937499995,143.70499999999998,11.0,[1]
0.49875,-19.49544335839599,0.6117480468750001,155.855,19.0,[5]
0.77125,12.711312965964344,0.684243359375,156.755,9.0,[4]
0.6737500000000001,27.41425918367347,0.6571167968750001,142.805,9.0,[4]
0.32125,31.26643852140078,0.341629296875,176.555,19.0,[5]
0.72125,14.482609532062392,0.6993871093749999,220.20499999999998,18.0,[1]
0.7437499999999999,26.77622403361345,0.8732089843749999,153.605,17.0,[5]
0.76875,20.26853739837398,0.8636425781250001,216.605,14.0,[1]
0.47875,21.147971018276763,0.564775390625,164.405,18.0,[1]
0.47375,-41.69777546174142,0.48870273437499995,175.655,11.0,[1]
0.5137499999999999,-23.299833333333336,0.5328550781249999,201.305,19.0,[5]
0.53875,13.877337122969838,0.5355511718749999,217.055,9.0,[4]
0.39625,26.766126498422715,0.40206992187499996,202.20499999999998,15.0,[1]
0.40875,-43.616819877675844,0.507488671875,170.70499999999998,16.0,[1]
0.41375,39.40463534743202,0.398880859375,191.855,11.0,[1]
0.59125,-18.481299999999997,0.6221058593750001,169.355,13.0,[4]
0.38625,-38.26268122977347,0.46869023437499996,167.105,15.0,[1]
0.30374999999999996,-67.94089341563787,0.345230859375,162.605,20.0,[6]
0.31375,28.94460677290837,0.32777070312499995,212.555,13.0,[4]
0.7637499999999999,-26.39025842880524,0.7735355468749998,151.805,14.0,[1]
0.7987500000000001,14.383477777777776,0.940777734375,186.45499999999998,11.0,[1]
0.7112499999999999,24.050819507908617,0.701692578125,189.605,19.0,[5]
0.5237499999999999,21.782444152744635,0.587418359375,210.755,17.0,[5]
0.61625,-18.773307302231242,0.610280078125,196.355,20.0,[6]
0.77875,-15.268111235955056,0.867576171875,156.305,13.0,[4]
0.76625,-16.98337373572594,0.701358203125,178.805,11.0,[1]
0.43374999999999997,20.566858501440922,0.512502734375,177.905,14.0,[1]
0.45375,26.027093939393943,0.476579296875,230.555,18.0,[1]
0.56375,22.087407317073172,0.5181214843749999,207.60500000000002,18.0,[1]
0.69625,-28.71822531418312,0.6568683593750001,199.055,9.0,[4]
0.75875,15.987854859967051,0.7272144531250001,169.805,19.0,[5]
0.65125,-18.503703838771592,0.775598046875,215.255,14.0,[1]
0.38875,54.11777524115757,0.440380859375,159.45499999999998,11.0,[1]
0.6287499999999999,-20.186909145129228,0.758233203125,192.755,19.0,[5]
0.36875,42.03712644067796,0.33821289062500004,186.005,17.0,[5]
0.58375,-26.829440471092074,0.537597265625,226.055,11.0,[1]
0.40125,-31.232457632398756,0.44024648437499997,197.70499999999998,14.0,[1]
0.32875,38.364323574144485,0.393369921875,231.905,15.0,[1]
0.51875,-26.633229156626502,0.6197441406250002,143.255,18.0,[1]
0.31875,-49.8899737254902,0.30131835937499996,173.405,13.0,[4]
0.39125,-28.543928115015976,0.45128242187499995,177.45499999999998,9.0,[4]
0.38125,-46.13149344262295,0.414013671875,206.255,13.0,[4]
0.70875,-29.570423104056438,0.8706550781250001,228.305,16.0,[1]
0.71625,-18.28098830715532,0.8167488281250002,144.605,14.0,[1]
0.54875,24.007299544419133,0.596937109375,153.155,9.0,[4]
0.43875,30.2091245014245,0.410642578125,145.505,17.0,[5]
0.44625,-33.83742661064426,0.436069921875,172.505,19.0,[5]
0.39375,34.273007301587306,0.405439453125,158.555,13.0,[4]
0.50125,22.119828678304238,0.543386328125,185.105,16.0,[1]
0.70375,-19.289867673179394,0.780062890625,181.055,15.0,[1]
0.7737499999999999,-19.30785928917609,0.9447003906249999,180.155,20.0,[6]
0.71375,11.936442907180385,0.741630859375,161.255,15.0,[1]
0.74125,-20.04614957841484,0.8119003906249999,224.70499999999998,17.0,[5]
0.6387499999999999,-25.02180332681018,0.661305859375,178.355,14.0,[1]
0.30624999999999997,44.851395510204085,0.305580078125,198.155,16.0,[1]
0.63125,10.953950297029703,0.631052734375,190.055,18.0,[1]
0.73375,-19.37611771720613,0.8793535156250001,157.655,11.0,[1]
0.34625,40.597056678700355,0.410414453125,168.45499999999998,19.0,[5]
0.46375,19.75551078167116,0.416650390625,182.855,19.0,[5]
0.31625,-34.044500000000006,0.348764453125,147.755,16.0,[1]
0.5762499999999999,-25.08975206073753,0.531770703125,148.655,13.0,[4]
0.50625,29.985579012345685,0.5763339843749999,168.005,13.0,[4]
0.68625,21.886635883424407,0.7954066406250001,192.305,16.0,[1]
0.74875,9.342142070116862,0.9211964843750001,171.155,14.0,[1]
0.54125,38.2767558891455,0.574570703125,165.755,14.0,[1]
0.57875,25.397344060475163,0.594846484375,217.95499999999998,15.0,[1]
0.41625,-33.38434924924925,0.44343632812500006,207.155,9.0,[4]
0.52125,-35.280785371702635,0.6129574218749999,219.305,16.0,[1]
