Radius,BStrength,ApexHeight,OrientationCme,iHelicity,restartdir,realization
0.65625,18.409966666666666,0.679423828125,215.975,1.0,4.0,[9.0]
0.72375,13.888259930915371,0.819873046875,175.925,1.0,12.0,[5.0]
0.62375,19.197920841683363,0.573265234375,222.275,1.0,12.0,[5.0]
0.32625,14.927231800766283,0.312078515625,202.925,-1.0,12.0,[5.0]
0.63125,8.476480198019802,0.7505957031249999,240.725,1.0,12.0,[5.0]
0.78375,16.096622807017546,0.757053515625,226.775,-1.0,12.0,[5.0]
0.34125,36.34301282051282,0.40704726562500004,195.725,1.0,12.0,[5.0]
0.60375,20.984094202898547,0.6986519531250001,187.175,-1.0,12.0,[5.0]
0.69375,13.487833333333333,0.702638671875,201.575,-1.0,12.0,[5.0]
0.32375,38.802499999999995,0.363712890625,242.075,-1.0,12.0,[5.0]
0.36624999999999996,33.424701365187715,0.3585816406249999,166.025,-1.0,12.0,[5.0]
0.54625,9.306516018306635,0.566563671875,218.225,-1.0,12.0,[5.0]
0.39125,18.454784345047923,0.355915234375,206.525,-1.0,12.0,[5.0]
0.50625,18.27229012345679,0.47571679687499996,170.975,-1.0,12.0,[5.0]
0.77875,7.2825561797752805,0.908460546875,210.125,-1.0,12.0,[5.0]
0.34625,26.40724729241877,0.370812109375,229.925,-1.0,12.0,[5.0]
0.65125,5.837442418426102,0.714543359375,157.475,1.0,12.0,[5.0]
0.51875,20.3034156626506,0.6304433593750001,166.475,1.0,12.0,[5.0]
0.68375,18.685169104204757,0.721997265625,237.575,1.0,12.0,[5.0]
0.43875,29.849565527065522,0.433676953125,189.425,1.0,12.0,[5.0]
0.42374999999999996,30.275877581120948,0.5237285156249999,219.125,-1.0,12.0,[5.0]
0.56375,19.535548780487805,0.561459765625,236.675,-1.0,12.0,[5.0]
0.41625,19.656388888888884,0.454362890625,173.225,1.0,12.0,[5.0]
0.7112499999999999,16.310399824253075,0.7590371093749999,162.875,-1.0,12.0,[5.0]
0.71375,8.245135726795095,0.6814082031250001,220.025,1.0,12.0,[5.0]
0.30374999999999996,33.26764403292182,0.28087382812499995,193.475,1.0,12.0,[5.0]
0.45125,12.923095567867035,0.514566015625,179.525,1.0,12.0,[5.0]
0.67875,7.725879373848988,0.837619921875,177.725,-1.0,12.0,[5.0]
0.31124999999999997,17.706134538152607,0.37651523437499995,189.875,1.0,12.0,[5.0]
0.73875,5.94144247038917,0.656794921875,172.325,1.0,12.0,[5.0]
0.55875,24.490564876957496,0.5826714843749999,183.125,1.0,12.0,[5.0]
0.7537499999999999,18.2255679933665,0.8637503906249999,208.325,1.0,12.0,[5.0]
0.51625,15.641906779661017,0.46188242187499995,225.875,-1.0,12.0,[5.0]
0.39375,27.29161111111111,0.450474609375,233.075,1.0,12.0,[5.0]
0.67125,15.929464618249535,0.644609765625,160.175,1.0,12.0,[5.0]
0.7637499999999999,6.2365589198036,0.7105261718749999,243.425,-1.0,12.0,[5.0]
0.6187499999999999,22.633722222222225,0.6893261718749999,167.375,-1.0,12.0,[5.0]
0.49124999999999996,23.83228371501272,0.499386328125,209.675,1.0,12.0,[5.0]
0.6637500000000001,10.234402071563087,0.6983894531250001,188.975,-1.0,12.0,[5.0]
0.59625,23.75659853249476,0.6005355468749999,228.125,1.0,12.0,[5.0]
0.35875,39.63286585365854,0.38823476562500003,185.375,-1.0,12.0,[5.0]
0.6625,5.778632075471698,0.7349609375,175.25,1.0,4.0,[4.0]
0.5375,8.116337209302324,0.5559765625,238.25,1.0,4.0,[4.0]
0.38749999999999996,12.636693548387097,0.36449218749999995,179.75,1.0,4.0,[4.0]
0.7124999999999999,7.6223245614035084,0.8705859374999999,206.75,1.0,4.0,[4.0]
0.3125,19.0883,0.3408203125,220.25,-1.0,4.0,[4.0]
0.5874999999999999,11.062606382978725,0.6958203124999999,161.75,-1.0,4.0,[4.0]
0.5125,13.723841463414635,0.45324218749999995,202.25,1.0,4.0,[4.0]
0.7875,9.609722222222222,0.8293359375,193.25,1.0,4.0,[4.0]
0.6875,11.7845,0.6337890625,233.75,1.0,4.0,[4.0]
0.4125,20.93583333333333,0.48082031249999996,242.75,-1.0,4.0,[4.0]
0.33749999999999997,27.17101851851852,0.3364453124999999,157.25,-1.0,4.0,[4.0]
0.4875,19.906474358974357,0.5499609375,184.25,-1.0,4.0,[4.0]
0.6375,16.060539215686273,0.6474609375,211.25,1.0,4.0,[4.0]
0.5625,19.151611111111112,0.6978515625,229.25,-1.0,4.0,[4.0]
0.7375,15.331483050847455,0.7213671875000001,170.75,-1.0,4.0,[4.0]
0.3625,32.665258620689656,0.43613281249999997,197.75,-1.0,4.0,[4.0]
0.4625,26.757499999999993,0.4437109375,224.75,1.0,4.0,[4.0]
0.7625,16.930532786885248,0.8744921875,215.75,-1.0,4.0,[4.0]
0.6125,21.94892857142857,0.5531640625,188.75,1.0,4.0,[4.0]
0.4375,31.949499999999997,0.46894531249999993,166.25,-1.0,4.0,[4.0]
0.6625,5.778632075471698,0.7349609375,175.25,1.0,12.0,[10.0]
0.5375,8.116337209302324,0.5559765625,238.25,1.0,12.0,[10.0]
0.38749999999999996,12.636693548387097,0.36449218749999995,179.75,1.0,12.0,[10.0]
0.7124999999999999,7.6223245614035084,0.8705859374999999,206.75,1.0,12.0,[10.0]
0.3125,19.0883,0.3408203125,220.25,-1.0,12.0,[10.0]
0.5874999999999999,11.062606382978725,0.6958203124999999,161.75,-1.0,12.0,[10.0]
0.5125,13.723841463414635,0.45324218749999995,202.25,1.0,12.0,[10.0]
0.7875,9.609722222222222,0.8293359375,193.25,1.0,12.0,[10.0]
0.6875,11.7845,0.6337890625,233.75,1.0,12.0,[10.0]
0.4125,20.93583333333333,0.48082031249999996,242.75,-1.0,12.0,[10.0]
0.33749999999999997,27.17101851851852,0.3364453124999999,157.25,-1.0,12.0,[10.0]
0.4875,19.906474358974357,0.5499609375,184.25,-1.0,12.0,[10.0]
0.6375,16.060539215686273,0.6474609375,211.25,1.0,12.0,[10.0]
0.5625,19.151611111111112,0.6978515625,229.25,-1.0,12.0,[10.0]
0.7375,15.331483050847455,0.7213671875000001,170.75,-1.0,12.0,[10.0]
0.3625,32.665258620689656,0.43613281249999997,197.75,-1.0,12.0,[10.0]
0.4625,26.757499999999993,0.4437109375,224.75,1.0,12.0,[10.0]
