Radius,BStrength,ApexHeight,Orientation,realization,restartdir
0.38875,27.41721414790997,0.45787460937499996,194.555,[9],6
0.57375,-9.439111111111112,0.642420703125,275.555,[4],7
0.69875,-15.878837924865833,0.698531640625,191.405,[4],8
0.74625,-13.038576884422111,0.859353515625,250.355,[12],16
0.79375,-11.639092913385827,0.861962890625,262.505,[4],7
0.43375,-29.357228818443804,0.44174726562500005,199.055,[4],7
0.42375,24.50827610619469,0.41567226562500004,199.95499999999998,[5],5
0.76375,-7.0194147299509,0.699069921875,206.70499999999998,[4],8
0.61875,-19.079263030303032,0.6696035156250001,187.805,[2],3
0.78625,-13.069835294117647,0.914261328125,232.80499999999998,[2],2
0.32625,-33.33912643678161,0.288221484375,249.45499999999998,[9],6
0.39875,26.592677115987463,0.495820703125,225.605,[2],2
0.79625,-12.425587441130297,0.784057421875,240.45499999999998,[5],1
0.35875,-24.83862857142857,0.40639648437500003,213.005,[4],7
0.35375,-31.673673498233214,0.392109765625,229.20499999999998,[5],5
0.62375,18.48855150300601,0.745186328125,243.155,[4],8
0.55875,-10.86538523489933,0.49990664062499995,245.405,[5],1
0.77875,-7.9361258426966295,0.9522652343750001,265.655,[4],11
0.40125,20.16617570093458,0.46507382812500003,238.20499999999998,[5],5
0.54875,14.845175398633257,0.48787304687499994,267.905,[4],8
0.48625,-29.21999383033419,0.533507421875,246.305,[4],7
0.44125,18.585613597733712,0.476687890625,251.70499999999998,[9],6
0.34375,-31.48299054545455,0.315927734375,195.45499999999998,[2],2
0.71625,-17.702039790575913,0.827492578125,218.405,[5],1
0.31125,20.909012048192768,0.303566015625,252.605,[2],2
0.53875,-25.156154060324827,0.663841015625,271.955,[2],2
0.63125,18.87448396039604,0.638154296875,249.905,[5],1
0.64625,8.718201934235978,0.718751171875,265.205,[2],3
0.40875,34.092139449541286,0.44081132812499996,264.755,[9],17
0.51375,-20.42745693430657,0.6339996093750001,204.905,[9],17
0.57125,21.239327789934354,0.599991015625,187.355,[2],2
0.63625,22.58869626719057,0.5787886718749999,271.055,[4],7
0.77125,-15.873179902755268,0.781131640625,208.505,[12],16
0.38375,-31.75916091205212,0.35484882812499996,239.105,[9],17
0.60625,-8.212443711340207,0.543541015625,274.205,[12],16
0.32375,-38.31977142857143,0.37221132812499996,259.805,[2],2
0.69625,-11.151175583482944,0.613787890625,240.905,[2],2
0.41125,-31.361784802431607,0.471266796875,235.055,[9],6
0.34125,-36.83476043956044,0.328986328125,218.855,[2],3
0.49625,-23.89905491183879,0.47004179687500003,248.105,[5],5
0.43875,-10.102960683760685,0.515942578125,207.605,[5],1
0.40375,31.809094736842106,0.370314453125,236.855,[5],1
0.38625,34.38140582524272,0.3868535156249999,267.455,[5],5
0.46875,26.9322112,0.563525390625,273.305,[12],16
0.75125,-18.40391081530782,0.900326171875,210.755,[4],7
0.30125,-36.64971286307054,0.293248046875,240.005,[4],11
0.52375,-24.83390548926014,0.589382421875,253.95499999999998,[2],3
0.78125,16.7185536,0.794189453125,269.705,[4],8
0.68875,-21.104746279491835,0.749230859375,215.255,[2],2
0.70125,17.84705882352941,0.8693308593750001,231.455,[4],11
0.67375,-20.19664564007421,0.6520636718749999,228.305,[9],17
0.55375,-17.27530835214447,0.6044527343749999,276.905,[5],5
0.69125,10.994820976491862,0.863414453125,215.70499999999998,[9],6
0.58875,22.27767643312102,0.683501953125,229.655,[4],7
0.53125,-25.408500705882354,0.520126953125,254.855,[4],8
0.60125,-22.359507692307695,0.6878675781249999,195.905,[5],5
0.36625,37.89911262798635,0.37437617187500005,238.655,[2],2
0.48375,-17.2914480620155,0.511716796875,262.955,[12],16
0.37125,36.947377777777774,0.44840039062500003,203.105,[5],1
0.38125,35.83502163934426,0.37684179687499997,190.95499999999998,[4],11
0.66875,19.12270654205608,0.7061582031249999,234.605,[5],5
0.48875,-22.47798260869565,0.608646484375,194.105,[5],1
0.36125,-21.643233217993078,0.416679296875,191.855,[2],3
0.75625,15.826948760330579,0.9049003906249999,190.505,[5],5
0.42875,26.6425889212828,0.5170457031250001,247.20499999999998,[2],3
0.66375,11.614906214689267,0.693411328125,197.255,[12],16
0.65625,21.484187428571428,0.609287109375,220.655,[4],8
0.32875,-25.111829657794676,0.293512109375,255.755,[4],7
0.72125,17.95791473136915,0.633122265625,205.805,[9],17
0.49875,19.94683909774436,0.535065234375,230.105,[4],8
0.43125,26.994685217391304,0.406857421875,266.105,[2],2
0.50125,27.47396708229427,0.508612109375,217.505,[9],6
0.56625,13.036153642384106,0.512987109375,244.055,[9],17
0.32125,32.8380326848249,0.358494921875,241.805,[12],16
0.68375,-19.501908592321758,0.646357421875,196.805,[9],6
